LHD, Rax=3.75m (case1)

rho	n(10^19m-3)	dn/dr	Ln	R/Ln	Te(keV)	dTe/dr	LTe	R/LTe	Ti(kev)	dTi/dr	LTi	R/LTi
0.69000	1.2831	0.20491	-6.2619	-0.59886	2.2645	-6.2469	0.36251	10.345	1.9937	-7.0058	0.28458	13.181
0.70000	1.2843	0.16675	-7.7015	-0.48692	2.2267	-6.3597	0.35013	10.710	1.9519	-6.9950	0.27904	13.443
0.71000	1.2851	0.12286	-10.460	-0.35850	2.1882	-6.4711	0.33815	11.090	1.9101	-6.9803	0.27364	13.708
0.72000	1.2857	0.072858	-17.647	-0.21250	2.1491	-6.5808	0.32657	11.483	1.8684	-6.9617	0.26839	13.976
0.73000	1.2860	0.016381	-78.502	-0.047769	2.1093	-6.6887	0.31535	11.892	1.8269	-6.9391	0.26328	14.248
0.74000	1.2859	-0.046963	27.381	0.13696	2.0688	-6.7946	0.30448	12.316	1.7855	-6.9126	0.25830	14.522
0.75000	1.2854	-0.11758	10.932	0.34302	2.0277	-6.8981	0.29396	12.757	1.7443	-6.8821	0.25345	14.800
0.76000	1.2845	-0.19587	6.5576	0.57186	1.9860	-6.9992	0.28375	13.216	1.7033	-6.8478	0.24873	15.081
0.77000	1.2830	-0.28228	4.5452	0.82504	1.9438	-7.0975	0.27387	13.693	1.6625	-6.8096	0.24414	15.365
0.78000	1.2811	-0.37724	3.3959	1.1043	1.9009	-7.1928	0.26427	14.190	1.6219	-6.7675	0.23966	15.652
0.79000	1.2785	-0.48120	2.6569	1.4114	1.8574	-7.2850	0.25497	14.708	1.5816	-6.7216	0.23530	15.942
0.80000	1.2753	-0.59463	2.1447	1.7485	1.8135	-7.3736	0.24594	15.248	1.5416	-6.6718	0.23105	16.235

